event_id,source_video,frame_range,peak_frame,split_topology,track_id,parent_id,confidence,tracker_confidence,classification_source,centroid_x,centroid_y,claude_notes,bleach_risk,acd_division_type,misaligned_chromosomes,lagging_chromosome,anaphase_bridge,micronucleus
0,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,0-3,3,normal_split,285,274,0.0,0.1000,claude,513.6886993603412,1921.452025586354,"The center cell exhibits shape flickering and elongation consistent with focus drift or z-plane motion rather than true cytokinesis. No persistent, distinct daughter cells are observed post-split; instead, the morphology remains ambiguous and cell configurations return to single-cell appearance, suggesting temporary blur or tracking artifact rather than committed division.",0.005,,,,,
1,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,0-3,3,normal_split,286,274,0.0,0.1000,claude,513.6886993603412,1921.452025586354,"The center cell exhibits shape flickering and elongation consistent with focus drift or z-plane motion rather than true cytokinesis. No persistent, distinct daughter cells are observed post-split; instead, the morphology remains ambiguous and cell configurations return to single-cell appearance, suggesting temporary blur or tracking artifact rather than committed division.",0.005,,,,,
2,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,0-3,3,normal_split,283,276,0.0,0.1000,claude,1912.700879765396,143.20527859237538,"The sequence shows multiple distinct cells moving independently across the field rather than a single cell undergoing division. The apparent 'split' at frame 3 reflects tracking drift or ID reassignment as different cells move through the plane, not a genuine cytokinesis event. No clear rounding, elongation along a cleavage plane, or persistent daughter cell emergence from a single parent is observed.",0.005,,,,,
3,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,0-3,3,normal_split,284,276,0.0,0.1000,claude,1912.700879765396,143.20527859237538,"The sequence shows multiple distinct cells moving independently across the field rather than a single cell undergoing division. The apparent 'split' at frame 3 reflects tracking drift or ID reassignment as different cells move through the plane, not a genuine cytokinesis event. No clear rounding, elongation along a cleavage plane, or persistent daughter cell emergence from a single parent is observed.",0.005,,,,,
4,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,0-4,4,normal_split,290,223,0.0,0.1000,claude,1954.4195922989807,303.47734994337486,"The sequence shows multiple distinct cells with stable positions and morphologies throughout all frames. There is no evidence of a single cell rounding up, elongating along a cleavage plane, or transitioning into two daughter cells. The cell positions and number remain consistent, suggesting this is a tracking artifact or ID swap rather than a genuine division event.",0.007,,,,,
5,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,0-4,4,normal_split,291,223,0.0,0.1000,claude,1954.4195922989807,303.47734994337486,"The sequence shows multiple distinct cells with stable positions and morphologies throughout all frames. There is no evidence of a single cell rounding up, elongating along a cleavage plane, or transitioning into two daughter cells. The cell positions and number remain consistent, suggesting this is a tracking artifact or ID swap rather than a genuine division event.",0.007,,,,,
6,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,0-8,8,normal_split,301,265,0.0,0.3000,claude,905.1430446194225,1821.4107611548557,"The central object shows progressive fragmentation into small, dim debris-like particles that remain scattered and fail to coalesce into two distinct, persistent daughter cells. This pattern is consistent with z-plane focus drift or debris artifact rather than a genuine cell division, which would show rounded daughter cells that persist and maintain clear boundaries.",0.014,,,,,
7,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,0-8,8,normal_split,302,265,0.0,0.3000,claude,905.1430446194225,1821.4107611548557,"The central object shows progressive fragmentation into small, dim debris-like particles that remain scattered and fail to coalesce into two distinct, persistent daughter cells. This pattern is consistent with z-plane focus drift or debris artifact rather than a genuine cell division, which would show rounded daughter cells that persist and maintain clear boundaries.",0.014,,,,,
8,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,1-11,11,normal_split,309,308,0.0,1.0000,claude,241.839863713799,653.2078364565588,"The central structure appears as a single bright spot in frames 1-2, then briefly separates into two small fragments in frames 3-5. However, the fragments remain dim, poorly defined, and do not develop into persistent, rounded daughter cells with clear nuclear morphology. This pattern is consistent with z-plane focus drift or segmentation flickering rather than a genuine mitotic division.",0.019,,,,,
9,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,1-11,11,normal_split,310,308,0.0,1.0000,claude,241.839863713799,653.2078364565588,"The central structure appears as a single bright spot in frames 1-2, then briefly separates into two small fragments in frames 3-5. However, the fragments remain dim, poorly defined, and do not develop into persistent, rounded daughter cells with clear nuclear morphology. This pattern is consistent with z-plane focus drift or segmentation flickering rather than a genuine mitotic division.",0.019,,,,,
10,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,2-12,12,normal_split,312,304,0.0,0.1000,claude,1291.5011350737798,1251.3859250851306,"No detectable division event occurs across the sequence. The cell positions and morphologies remain static throughout all five frames, with no evidence of rounding, elongation, cleavage plane formation, or separation into distinct daughter cells. This appears to be a tracking artifact or false positive flagged without an actual biological event.",0.021,,,,,
11,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,2-12,12,normal_split,313,304,0.0,0.1000,claude,1291.5011350737798,1251.3859250851306,"No detectable division event occurs across the sequence. The cell positions and morphologies remain static throughout all five frames, with no evidence of rounding, elongation, cleavage plane formation, or separation into distinct daughter cells. This appears to be a tracking artifact or false positive flagged without an actual biological event.",0.021,,,,,
12,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,3-13,13,normal_split,318,226,0.0,0.1000,claude,515.0388257575758,946.1354166666666,"The cell in the center-left region appears as two touching circular masks across frames, but there is no clear evidence of mitotic progression. The two apparent 'daughter' cells remain static in position and morphology across all frames, suggesting this is either a z-plane focus artifact creating the appearance of two distinct objects from a single rounded cell, or persistent shape-change flickering rather than a genuine division event.",0.023,,,,,
13,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,3-13,13,normal_split,319,226,0.0,0.1000,claude,515.0388257575758,946.1354166666666,"The cell in the center-left region appears as two touching circular masks across frames, but there is no clear evidence of mitotic progression. The two apparent 'daughter' cells remain static in position and morphology across all frames, suggesting this is either a z-plane focus artifact creating the appearance of two distinct objects from a single rounded cell, or persistent shape-change flickering rather than a genuine division event.",0.023,,,,,
14,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,3-13,13,normal_split,320,266,0.0,0.2000,claude,236.51093333333333,1461.0784,"No clear division event is observed. The sequence shows the same field of cells with minor positional and intensity fluctuations typical of focus drift or cell movement, but no single cell rounds up, elongates, or visibly separates into two persistent daughter cells. The apparent 'split' likely reflects z-plane focus drift or tracking artifact rather than a genuine mitotic division.",0.023,,,,,
15,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,3-13,13,normal_split,321,266,0.0,0.2000,claude,236.51093333333333,1461.0784,"No clear division event is observed. The sequence shows the same field of cells with minor positional and intensity fluctuations typical of focus drift or cell movement, but no single cell rounds up, elongates, or visibly separates into two persistent daughter cells. The apparent 'split' likely reflects z-plane focus drift or tracking artifact rather than a genuine mitotic division.",0.023,,,,,
16,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,6-16,16,normal_split,325,289,0.0,0.1000,claude,1382.308815272319,1090.8382930937676,"The frames show minimal morphological change across the sequence with no clear cell rounding, elongation, or cleavage plane progression characteristic of mitosis. The cell in the center region maintains relatively stable appearance and position, consistent with z-plane focus drift or segmentation artifact rather than a genuine division event.",0.028,,,,,
17,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,6-16,16,normal_split,326,289,0.0,0.1000,claude,1382.308815272319,1090.8382930937676,"The frames show minimal morphological change across the sequence with no clear cell rounding, elongation, or cleavage plane progression characteristic of mitosis. The cell in the center region maintains relatively stable appearance and position, consistent with z-plane focus drift or segmentation artifact rather than a genuine division event.",0.028,,,,,
18,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,13-23,23,normal_split,335,24,0.0,0.1000,claude,826.3758819756254,1554.6555484284797,"The object exhibits progressive fragmentation and signal loss rather than clean cytokinesis. In the before-frames, two distinct rounded masses are visible with good signal intensity. Post-split frames show increasing fragmentation into scattered, smaller punctate structures with diminishing total fluorescence intensity, consistent with z-plane focus drift or image degradation rather than a genuine mitotic division producing two viable daughter cells.",0.040,,,,,
19,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,13-23,23,normal_split,336,24,0.0,0.1000,claude,826.3758819756254,1554.6555484284797,"The object exhibits progressive fragmentation and signal loss rather than clean cytokinesis. In the before-frames, two distinct rounded masses are visible with good signal intensity. Post-split frames show increasing fragmentation into scattered, smaller punctate structures with diminishing total fluorescence intensity, consistent with z-plane focus drift or image degradation rather than a genuine mitotic division producing two viable daughter cells.",0.040,,,,,
20,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,14-24,24,normal_split,337,164,0.0,0.1000,claude,1028.173717948718,927.6884615384615,"The small irregular object in the upper-left region shows fragmentation and blur across frames, consistent with z-plane focus drift or transient shape-change flickering rather than a genuine cell division. The object lacks the clear morphological progression (rounding, elongation along a cleavage plane, formation of two stable daughter cells) characteristic of real mitosis, and the fragments do not persist as distinct, well-defined cells in subsequent frames.",0.042,,,,,
